time	resource	numTypes	assocRate
21913	28.42717	38	91.39397
21914	28.38827	38	91.38947
21915	28.34936	38	91.38497
21916	28.31044	38	91.38047
21917	28.27151	38	91.37597
21918	28.23257	38	91.37147
21919	28.19363	38	91.36697
21920	28.15468	38	91.36247
21921	28.11572	38	91.35797
21922	28.07675	38	91.35347
21923	28.03778	38	91.34897
21924	27.9988	38	91.34447
21925	27.95981	38	91.33997
21926	27.92081	38	91.33547
21927	27.88181	38	91.33097
21928	27.8428	38	91.32647
21929	27.80378	38	91.32197
21930	27.76476	38	91.31747
21931	27.72572	38	91.312970000000007
21932	27.68669	38	91.30847
21933	27.64764	38	91.30397
21934	27.60859	38	91.29947
21935	27.56953	38	91.29497
21936	27.53047	38	91.29047
21937	27.4914	38	91.28597
21938	27.45232	38	91.28147
21939	27.41324	38	91.27697
21940	27.37415	38	91.27247
21941	27.33506	38	91.26797
21942	27.29596	38	91.26347
21943	27.25685	38	91.25897
21944	27.21774	38	91.25447
21945	27.17862	38	91.24997
21946	27.1395	38	91.24547
21947	27.10037	38	91.24097
21948	27.06124	38	91.23647
21949	27.0221	38	91.23197
21950	26.98296	38	91.22747
21951	26.94381	38	91.22297
21952	26.90466	38	91.21847
21953	26.8655	38	91.21397
21954	26.82634	38	91.20947
21955	26.78717	38	91.20497
21956	26.748	38	91.20047
21957	26.70883	38	91.19597
21958	26.66965	38	91.19147
21959	26.63047	38	91.18697
21960	26.59128	38	91.18247
21961	26.55209	38	91.17797
21962	26.51289	38	91.17347
21963	26.47369	38	91.16897
21964	26.43449	38	91.16447
21965	26.39528	38	91.15997
21966	26.35608	38	91.15547
21967	26.31686	38	91.15097
21968	26.27765	38	91.14647
21969	26.23843	38	91.14197
21970	26.19921	38	91.13747
21971	26.15998	38	91.13297
21972	26.12075	38	91.12847
21973	26.08152	38	91.12397
21974	26.04229	38	91.11947
21975	26.003050000000002	38	91.11497
21976	25.96381	38	91.11047
21977	25.92457	38	91.10597
21978	25.88533	38	91.10147
21979	25.84608	38	91.09697
